"SourceKind","Title","Url","NoteFile","Relay","Hash","LastChecked","Status","Error"
"ChatGPTShare","BS16カット除去定理再構成","https://chatgpt.com/share/6a0f9763-a68c-8323-ad6b-452b82ea8b3b","research/notes/bs16-fiber-residuated-aps.md","Research Project","80aa7041809cea2daf9d08e8be051aa6a2ae7aaca9e4f80037e84df203f0253e","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","MND4-preAPS構成問題","https://chatgpt.com/share/6a0fbc5a-a86c-8322-8ce7-1888af5f455e","research/notes/mnd4-preaps-fixedpoint-obstruction.md","Research Project","57b587a43defddea52fb4e830864d60fa1a2e27a602bb1fe24a9ce7d28ac7627","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","解析的APSの見解","https://chatgpt.com/share/6a0fbc70-69ac-8323-b5a8-7b32313ce6b6","research/notes/analytic-aps.md","Research Project","4ab6aa5377f1935be01b76b6ca0acf12d4d025ce06e0eb63708241e97ac8ee1b","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","不動点存在条件","https://chatgpt.com/share/6a0fbc80-8e2c-8324-b690-5676347231cf","research/notes/residuated-fixedpoint-existence.md","Research Project","95a78286b35861e6d8cb52037c8535cbc345edd5a111dc1757dc8d44d7ab0747","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","完備化と不動点","https://chatgpt.com/share/6a0fbc8e-e630-8324-91df-73add1286869","research/notes/completion-and-fixed-points.md","Research Project","e8a87db71e783f70ffb6dde053d579eaf79d5bc50598c6a25661d81b1be8034d","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","自己存在文の作成方法","https://chatgpt.com/share/6a0fbc9d-be30-8324-9ae2-943bd3ed2b14","research/notes/self-existence-sentences.md","Research Project","4f97edac872ad86d4497ec22b04dea07f5eb101b3c10a6967bc27868b188dfe6","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","剰余付き代数と完備化","https://chatgpt.com/share/6a0cbab3-b174-83ab-8a89-db8a746eacda","research/notes/residuated-algebra-domain-completion.md","Research Project","2a0a3eed58a289bb68e21bdf982eeb131bf4896cf27290f6460ed1d6f41141e9","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","様相と計算効果分析","https://chatgpt.com/share/6a05e7b4-21cc-83e9-bc3b-366beee708c7","research/notes/aps-monad-computational-effects.md","Research Project Handoff","d91452fbecd12a0ed7c50c8d51723cdfc9aaa1d1720366e718726cb3d08ba1c0","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","Indexed Preorder 構造","https://chatgpt.com/share/6a091206-9c54-83e8-8c17-602c5572e247","research/notes/indexed-aps-fibred-algebra.md","Research Project Handoff","83e7ee31ef766a59623579909ea8e43ddfcf3c986bae61b1e75ceea5769e1bfa","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","逆方向の成立条件","https://chatgpt.com/share/6a023ac5-ad64-83e8-93af-d2ba789ca554","research/notes/aps-arithmetic-realization-kernel.md","Research Project Handoff","8bc0c0794b160583e841ef6b13936a9ef83bc1a4c4ad60dd8b86606e9612e668","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","述語位相と不動点","https://chatgpt.com/share/69fbf42a-8de0-83e8-8cff-9b51f13a16c0","research/notes/predicate-topology-fixed-points.md","Research Project Handoff","e73f26f76574f628cf767d25d89b8046d31e73f178311d6b2b821a87f29fc673","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","G2-ZOOと基数不変量","https://chatgpt.com/share/6a0b7536-836c-83ab-ae90-5eb16748d05e","research/notes/aps-cardinal-invariants-fixed-points.md","Research Project Handoff","8376a015ae0dcdc8113c8db6cf08c850bee9a23f54b1f7222e43a38ee3b5fe6d","2026-06-19T22:08:54","unchanged",""
"ChatGPTShare","APS 自然な位相","https://chatgpt.com/share/6a0bc487-fc1c-83a5-80c3-fbac672889a4","research/notes/g2-zoo-topological-taming.md","Research Project Handoff","b790053220e2f8a96197c00b6b1e57b15009d6b0ac6e220e1eac92aad5d1ff5a","2026-06-19T22:08:54","unchanged",""
